n,lam,z_rel,load_scale,p_tot,conv,k_in_12,k_in_6,k_pred,eta_emp,eta_r2,eta1,eta2,etainf,eta2_nom,v_min,feas_min,kappa,kappa_n
350,3.2461538461538466,1.0,1.547823266854434e-05,0.0175856535780307,True,13,7,11.128923652446904,0.1033304198004065,0.999921582008968,0.1323883356551602,0.103796280647804,0.1274676070813784,0.0856466620635099,0.895296318666055,406.5346194198791,0.02551483079651925,7.289951656148356e-05
350,3.5230769230769234,1.0,1.547823266854434e-05,0.0190858515135973,True,13,7,11.685709393879325,0.1143410825541755,0.9999131442072104,0.1469775755968935,0.1148921799765121,0.1409583324938043,0.092953012381724,0.8852025039944457,374.5799331772685,0.025431117327138493,7.26603352203957e-05
350,3.8,1.0,1.547823266854434e-05,0.0205860494491639,True,14,7,12.282789454227808,0.1262859447651249,0.9999181784083186,0.1622968232900282,0.1264766741888617,0.1550150017216887,0.100259362699938,0.8748707550266205,347.28261011171867,0.025436609310280526,7.26760266008015e-05
350,4.0769230769230775,1.0,1.547823266854434e-05,0.0220862473847305,True,14,7,12.883477211447104,0.1383336528879768,0.9999090873862052,0.1784161188917256,0.1385943078038603,0.1696878544936716,0.1075657130181523,0.8642837056407321,323.6936026324321,0.02534591526107305,7.241690074592299e-05
350,4.353846153846154,1.0,1.547823266854434e-05,0.0235864453202971,True,15,8,13.495590377368062,0.1505987414208759,0.9999173784599455,0.1954158903239214,0.1512960400717271,0.1850342479764514,0.1148720633363663,0.8534217603759728,303.1053169526308,0.02519275643833664,7.197930410953326e-05
350,4.630769230769231,1.0,1.547823266854434e-05,0.0250866432558637,True,16,8,14.15597248945936,0.1638049726380524,0.9999079807881148,0.2133891106213766,0.1646405516467267,0.2011200907553723,0.1221784136545805,0.8422626713531544,284.97941759998173,0.025093951218012837,7.169700348003668e-05
350,4.907692307692308,1.0,1.547823266854434e-05,0.0265868411914303,True,16,8,14.878588691227124,0.1781686153389887,0.9999100814038442,0.2324440480551724,0.1786959053766072,0.2180216623922087,0.1294847639727946,0.8307810059197225,268.8990742871301,0.02505688016049768,7.159108617285051e-05
350,5.184615384615385,1.0,1.547823266854434e-05,0.028087039126997,True,17,9,15.611980263334122,0.1925473023463082,0.9999153043915074,0.2527078169206321,0.1935416841179546,0.235827951602414,0.1367911142910086,0.8189474683920122,254.53651245577004,0.02490766314304964,7.116475183728469e-05
350,5.461538461538462,1.0,1.547823266854434e-05,0.0295872370625636,True,18,9,16.41499104903404,0.208065281222699,0.9999043487253536,0.2743310277344205,0.2092717817696247,0.254643703505545,0.1440974646092228,0.8067280238032065,241.6304357678719,0.0247935610718406,7.083874591954457e-05
350,5.7384615384615385,1.0,1.547823266854434e-05,0.0310874349981302,True,19,9,17.308094040108163,0.2249972984713324,0.9999028629492328,0.2974939751290765,0.2259981053669524,0.2745934542676108,0.1514038149274369,0.7940827480344509,229.9699857844357,0.02472369344405107,7.063912412586021e-05
