n,pv_share,lam,q_init_mode,conv,k_out,k_in,eps_med,q_max,t_ms
40,0.25,6.015384615384616,continuation,True,5,24,3.2188947035829113e-06,0.08248700597975639,0.4381999606266618
40,0.25,6.292307692307693,cold_q0,True,6,35,7.2981250841482075e-06,0.08230520130026407,0.6192000582814217
40,0.25,6.292307692307693,continuation,True,5,26,3.775951782526776e-06,0.08230520130101418,0.4993999609723687
40,0.25,6.56923076923077,cold_q0,True,6,38,1.0880052702727181e-05,0.08212326058328787,1.1572000803425908
40,0.25,6.56923076923077,continuation,True,5,27,4.61657760237747e-06,0.08212326058415818,0.6735000060871243
40,0.25,6.846153846153847,cold_q0,True,7,43,9.430763783391813e-06,0.08194118281699694,1.0875000152736902
40,0.25,6.846153846153847,continuation,True,5,29,5.563769460520468e-06,0.08194118281780013,0.6977999582886696
40,0.25,7.1230769230769235,cold_q0,True,7,47,1.457882921395168e-05,0.08175896697737418,1.3772000093013048
40,0.25,7.1230769230769235,continuation,True,6,32,1.504562319718747e-06,0.08175896697736378,0.8947000605985522
40,0.25,7.4,cold_q0,True,8,54,8.437465558748077e-06,0.08157661202864241,1.2438000412657857
40,0.25,7.4,continuation,True,6,37,2.1988185319820835e-06,0.08157661202863162,0.9461999870836735
40,0.25,7.676923076923077,cold_q0,True,8,60,1.559129477012608e-05,0.08139411692210638,1.2565999059006572
40,0.25,7.676923076923077,continuation,True,6,39,3.229560933908198e-06,0.08139411692209345,0.7281999569386244
40,0.25,7.953846153846155,cold_q0,True,9,71,1.938905288418053e-05,0.08121148059614512,1.2014999520033598
40,0.25,7.953846153846155,continuation,True,7,47,3.4062825651252098e-06,0.08121148059614415,0.7575000636279583
40,0.25,8.23076923076923,cold_q0,True,11,90,1.4839869900742253e-05,0.08102870197601962,1.6599999507889152
40,0.25,8.23076923076923,continuation,True,8,57,3.128018927747557e-06,0.08102870197602098,0.9445999749004841
40,0.25,8.507692307692308,cold_q0,True,13,114,1.8430282802583626e-05,0.0808457799736349,1.9217999652028084
40,0.25,8.507692307692308,continuation,True,9,70,4.882742151717427e-06,0.08084577997363364,1.0964999673888087
40,0.25,8.784615384615384,cold_q0,True,16,166,3.0100341174881898e-05,0.08066271348732096,2.246699994429946
40,0.25,8.784615384615384,continuation,True,11,96,7.2710937729591306e-06,0.08066271348732108,2.0191000076010823
40,0.25,9.061538461538461,cold_q0,True,27,336,4.795145302662129e-05,0.08047950140156547,4.851700039580464
40,0.25,9.061538461538461,continuation,True,18,181,1.0148527857328216e-05,0.08047950140156682,2.5106000248342752
40,0.25,9.338461538461539,cold_q0,False,60,2584,0.0015038148157537666,0.08029614258679693,32.33940002974123
40,0.25,9.338461538461539,continuation,False,60,2801,0.0013104307104992267,0.08029614258679801,33.463000087067485
40,0.5,0.2,cold_q0,True,3,8,3.104693327662948e-05,0.08626735251166254,0.2741999924182892
40,0.5,0.2,continuation,True,3,8,3.104693327662948e-05,0.08626735251166254,0.25590008590370417
40,0.5,0.47692307692307695,cold_q0,True,3,8,7.691373941939877e-05,0.08609058099824907,0.25370006915181875
40,0.5,0.47692307692307695,continuation,True,3,8,3.4016643469642364e-05,0.08609462687127467,0.5031999899074435
40,0.5,0.7538461538461538,cold_q0,True,3,9,0.00012388862276533385,0.08591369387592139,0.27570000384002924
